ID_UNICO,area,w_px,valid_frac_interior,valid_frac_perimeter,w_px_seg0,w_px_seg1,w_px_seg2,w_px_seg3,w_px_seg4,w_px_seg5,w_len,w_len_seg0,w_len_seg1,w_len_seg2,w_len_seg3,w_len_seg4,w_len_seg5,w_px_segmean,w_len_segmean,w_ring
2996,0.1779,0.07411,1.0,1.0,0.0,0.22571,0.0,0.00249,0.29338,0.0,0.08775,0.0,0.22735,0.0,0.00399,0.29516,0.0,0.08693,0.08775,0.18927
2997,0.07058,0.11062,1.0,1.0,0.0,0.0,0.0,0.0,0.59119,0.14815,0.12336,0.0,0.0,0.0,0.0,0.59259,0.14758,0.12322,0.12336,0.09202
2998,0.14759,0.1124,1.0,1.0,0.0,0.0,0.14815,0.2475,0.14107,0.12069,0.10969,0.0,0.0,0.14758,0.249,0.13846,0.12308,0.10957,0.10969,0.15214
2999,0.3417,0.37807,1.0,1.0,0.9601,0.23899,0.51724,0.0,0.1125,0.35309,0.36239,0.95783,0.2359,0.51852,0.0,0.11225,0.34986,0.36365,0.36239,0.32858
3000,0.33887,0.47413,1.0,1.0,0.2875,0.77116,0.35309,0.28,0.56604,0.66749,0.48661,0.28832,0.7698,0.34986,0.27407,0.56752,0.67009,0.48755,0.48661,0.33181
3001,0.49436,0.6016,1.0,1.0,0.72818,0.95298,0.66749,0.2875,0.45141,0.56296,0.60817,0.73276,0.95214,0.66952,0.28832,0.44615,0.56011,0.60842,0.60817,0.36344
3002,0.67095,0.64139,1.0,1.0,0.54,0.88088,0.56296,0.7275,0.80878,0.41728,0.65565,0.54188,0.88262,0.56011,0.72536,0.80741,0.41652,0.65623,0.65565,0.70798
3003,0.21251,0.40427,1.0,1.0,0.6175,0.28037,0.25123,0.54,0.3511,0.36207,0.39706,0.61197,0.2735,0.24672,0.54188,0.34986,0.3584,0.40038,0.39706,0.17246
3004,0.86249,0.8008,1.0,1.0,0.8275,0.9373,0.36207,0.7725,0.99688,0.98272,0.81235,0.82564,0.9396,0.3584,0.77151,0.99658,0.98234,0.81316,0.81235,0.88338
3005,0.76839,0.81417,1.0,1.0,0.84461,0.57944,1.0,0.8275,0.91562,0.69136,0.80893,0.84387,0.57949,1.0,0.82564,0.91282,0.69174,0.80976,0.80893,0.88148
